YearMonth,year,time,TotalEbill,EnergyCharge,NonEnergyCharge,AmortizedCost,DemandCharges,PPACost,FuelCost
202001,2020,2020-01-01,1733842.5,1006851.5,481621.0,0.0,245370.0,0,0
202002,2020,2020-02-01,1729767.0,998084.0,486313.0,0.0,245370.0,0,0
202003,2020,2020-03-01,1653241.0,949972.5,457898.5,0.0,245370.0,0,0
202004,2020,2020-04-01,1857177.5,1080517.0,531290.5,0.0,245370.0,0,0
202005,2020,2020-05-01,1870483.0,1091966.5,533146.5,0.0,245370.0,0,0
202006,2020,2020-06-01,1877314.5,1102075.0,529869.5,0.0,245370.0,0,0
202007,2020,2020-07-01,1847089.5,1084909.0,516810.5,0.0,245370.0,0,0
202008,2020,2020-08-01,1862004.5,1094249.0,522385.5,0.0,245370.0,0,0
202009,2020,2020-09-01,1921933.0,1133179.5,543383.5,0.0,245370.0,0,0
202010,2020,2020-10-01,1942834.0,1146716.0,550748.0,0.0,245370.0,0,0
202011,2020,2020-11-01,1850035.5,1082285.5,522380.0,0.0,245370.0,0,0
202012,2020,2020-12-01,1838993.5,1073523.5,520100.0,0.0,245370.0,0,0
202101,2021,2021-01-01,1859765.0,1038010.0,576385.0,0.0,245370.0,0,0
202102,2021,2021-02-01,1733625.0,948515.0,539740.0,0.0,245370.0,0,0
202103,2021,2021-03-01,1546456.0,833900.0,467186.0,0.0,245370.0,0,0
202104,2021,2021-04-01,1860290.0,1029215.0,585705.0,0.0,245370.0,0,0
202105,2021,2021-05-01,1853760.0,1028355.0,580035.0,0.0,245370.0,0,0
202106,2021,2021-06-01,1825945.0,1016950.0,563625.0,0.0,245370.0,0,0
202107,2021,2021-07-01,1866650.0,1049050.0,572230.0,0.0,245370.0,0,0
202108,2021,2021-08-01,1735700.0,964795.0,525535.0,0.0,245370.0,0,0
202109,2021,2021-09-01,1795100.0,1001380.0,548350.0,0.0,245370.0,0,0
202110,2021,2021-10-01,1823365.0,1019560.0,558435.0,0.0,245370.0,0,0
202111,2021,2021-11-01,1762080.0,976380.0,540330.0,0.0,245370.0,0,0
202112,2021,2021-12-01,1648685.0,902670.0,500645.0,0.0,245370.0,0,0
202201,2022,2022-01-01,1832495.0,976115.0,611010.0,0.0,245370.0,0,0
202202,2022,2022-02-01,1705470.0,887940.0,572160.0,0.0,245370.0,0,0
202203,2022,2022-03-01,1523935.0,783315.0,495250.0,0.0,245370.0,0,0
202204,2022,2022-04-01,1835745.0,969485.0,620890.0,0.0,245370.0,0,0
202205,2022,2022-05-01,1829580.0,969330.0,614880.0,0.0,245370.0,0,0
202206,2022,2022-06-01,1802375.0,959525.0,597480.0,0.0,245370.0,0,0
202207,2022,2022-07-01,1846600.0,994625.0,606605.0,0.0,245370.0,0,0
202208,2022,2022-08-01,1719595.0,917125.0,557100.0,0.0,245370.0,0,0
202209,2022,2022-09-01,1777780.0,951120.0,581290.0,0.0,245370.0,0,0
202210,2022,2022-10-01,1806725.0,969375.0,591980.0,0.0,245370.0,0,0
202211,2022,2022-11-01,1742410.0,924250.0,572790.0,0.0,245370.0,0,0
202212,2022,2022-12-01,1631560.0,855470.0,530720.0,0.0,245370.0,0,0
202301,2023,2023-01-01,1946240.0,1036905.0,663965.0,0.0,245370.0,0,0
202302,2023,2023-02-01,1830365.0,963245.0,621750.0,0.0,245370.0,0,0
202303,2023,2023-03-01,1625975.0,842435.0,538170.0,0.0,245370.0,0,0
202304,2023,2023-04-01,1951680.0,1031610.0,674700.0,0.0,245370.0,0,0
202305,2023,2023-05-01,1945795.0,1032255.0,668170.0,0.0,245370.0,0,0
202306,2023,2023-06-01,1917050.0,1022420.0,649260.0,0.0,245370.0,0,0
202307,2023,2023-07-01,1948985.0,1044435.0,659180.0,0.0,245370.0,0,0
202308,2023,2023-08-01,1807205.0,956450.0,605385.0,0.0,245370.0,0,0
202309,2023,2023-09-01,1874340.0,997300.0,631670.0,0.0,245370.0,0,0
202310,2023,2023-10-01,1903930.0,1015275.0,643285.0,0.0,245370.0,0,0
202311,2023,2023-11-01,1853600.0,985800.0,622430.0,0.0,245370.0,0,0
202312,2023,2023-12-01,1732665.0,910580.0,576715.0,0.0,245370.0,0,0
202401,2024,2024-01-01,1966670.0,1029840.0,691460.0,0.0,245370.0,0,0
202402,2024,2024-02-01,1848810.0,955945.0,647495.0,0.0,245370.0,0,0
202403,2024,2024-03-01,1642365.0,836535.0,560460.0,0.0,245370.0,0,0
202404,2024,2024-04-01,1973220.0,1025210.0,702640.0,0.0,245370.0,0,0
202405,2024,2024-05-01,1966955.0,1025745.0,695840.0,0.0,245370.0,0,0
202406,2024,2024-06-01,1937360.0,1015840.0,676150.0,0.0,245370.0,0,0
202407,2024,2024-07-01,1970510.0,1038665.0,686475.0,0.0,245370.0,0,0
202408,2024,2024-08-01,1827540.0,951715.0,630455.0,0.0,245370.0,0,0
202409,2024,2024-09-01,1895370.0,992175.0,657825.0,0.0,245370.0,0,0
202410,2024,2024-10-01,1925540.0,1010245.0,669925.0,0.0,245370.0,0,0
202411,2024,2024-11-01,1873450.0,979875.0,648205.0,0.0,245370.0,0,0
202412,2024,2024-12-01,1751160.0,905195.0,600595.0,0.0,245370.0,0,0
202501,2025,2025-01-01,1764047.3333333333,868833.0,649691.0,0.0,245523.33333333334,0,0
202502,2025,2025-02-01,1763680.8333333333,862137.0,656020.5,0.0,245523.33333333334,0,0
202503,2025,2025-03-01,1687832.8333333333,824618.5,617691.0,0.0,245523.33333333334,0,0
202504,2025,2025-04-01,1900832.8333333333,938616.0,716693.5,0.0,245523.33333333334,0,0
202505,2025,2025-05-01,1916427.3333333333,951706.5,719197.5,0.0,245523.33333333334,0,0
202506,2025,2025-06-01,1924943.8333333333,964643.0,714777.5,0.0,245523.33333333334,0,0
202507,2025,2025-07-01,1896782.8333333333,954098.0,697161.5,0.0,245523.33333333334,0,0
202508,2025,2025-08-01,1915377.3333333333,965172.0,704682.0,0.0,245523.33333333334,0,0
202509,2025,2025-09-01,1979013.8333333333,1000483.5,733007.0,0.0,245523.33333333334,0,0
202510,2025,2025-10-01,2002663.8333333333,1014200.0,742940.5,0.0,245523.33333333334,0,0
202511,2025,2025-11-01,1906772.8333333333,956575.5,704674.0,0.0,245523.33333333334,0,0
202512,2025,2025-12-01,1897238.3333333333,950117.0,701598.0,0.0,245523.33333333334,0,0
202601,2026,2026-01-01,1983018.3333333333,972715.0,764780.0,0.0,245523.33333333334,0,0
202602,2026,2026-02-01,1855878.3333333333,894200.0,716155.0,0.0,245523.33333333334,0,0
202603,2026,2026-03-01,1652123.3333333333,786710.0,619890.0,0.0,245523.33333333334,0,0
202604,2026,2026-04-01,1990898.3333333333,968225.0,777150.0,0.0,245523.33333333334,0,0
202605,2026,2026-05-01,1983903.3333333333,968755.0,769625.0,0.0,245523.33333333334,0,0
202606,2026,2026-06-01,1953323.3333333333,959955.0,747845.0,0.0,245523.33333333334,0,0
202607,2026,2026-07-01,1993993.3333333333,989200.0,759270.0,0.0,245523.33333333334,0,0
202608,2026,2026-08-01,1852468.3333333333,909640.0,697305.0,0.0,245523.33333333334,0,0
202609,2026,2026-09-01,1918593.3333333333,945490.0,727580.0,0.0,245523.33333333334,0,0
202610,2026,2026-10-01,1949558.3333333333,963070.0,740965.0,0.0,245523.33333333334,0,0
202611,2026,2026-11-01,1888023.3333333333,925560.0,716940.0,0.0,245523.33333333334,0,0
202612,2026,2026-12-01,1765418.3333333333,855610.0,664285.0,0.0,245523.33333333334,0,0
202701,2027,2027-01-01,2008188.3333333333,966315.0,796350.0,0.0,245523.33333333334,0,0
202702,2027,2027-02-01,1878638.3333333333,887400.0,745715.0,0.0,245523.33333333334,0,0
202703,2027,2027-03-01,1672178.3333333333,781180.0,645475.0,0.0,245523.33333333334,0,0
202704,2027,2027-04-01,2016833.3333333333,962080.0,809230.0,0.0,245523.33333333334,0,0
202705,2027,2027-05-01,2009438.3333333333,962525.0,801390.0,0.0,245523.33333333334,0,0
202706,2027,2027-06-01,1977933.3333333333,953695.0,778715.0,0.0,245523.33333333334,0,0
202707,2027,2027-07-01,2019763.3333333333,983630.0,790610.0,0.0,245523.33333333334,0,0
202708,2027,2027-08-01,1876558.3333333333,904945.0,726090.0,0.0,245523.33333333334,0,0
202709,2027,2027-09-01,1943403.3333333333,940265.0,757615.0,0.0,245523.33333333334,0,0
202710,2027,2027-10-01,1974858.3333333333,957785.0,771550.0,0.0,245523.33333333334,0,0
202711,2027,2027-11-01,1911478.3333333333,919420.0,746535.0,0.0,245523.33333333334,0,0
202712,2027,2027-12-01,1787243.3333333333,850015.0,691705.0,0.0,245523.33333333334,0,0
202801,2028,2028-01-01,2035448.3333333333,959970.0,829955.0,0.0,245523.33333333334,0,0
202802,2028,2028-02-01,1903368.3333333333,880660.0,777185.0,0.0,245523.33333333334,0,0
202803,2028,2028-03-01,1693938.3333333333,775700.0,672715.0,0.0,245523.33333333334,0,0
202804,2028,2028-04-01,2044878.3333333333,955980.0,843375.0,0.0,245523.33333333334,0,0
202805,2028,2028-05-01,2037083.3333333333,956350.0,835210.0,0.0,245523.33333333334,0,0
202806,2028,2028-06-01,2004603.3333333333,947500.0,811580.0,0.0,245523.33333333334,0,0
202807,2028,2028-07-01,2047608.3333333333,978110.0,823975.0,0.0,245523.33333333334,0,0
202808,2028,2028-08-01,1902543.3333333333,900290.0,756730.0,0.0,245523.33333333334,0,0
202809,2028,2028-09-01,1970188.3333333333,935080.0,789585.0,0.0,245523.33333333334,0,0
202810,2028,2028-10-01,2002178.3333333333,952545.0,804110.0,0.0,245523.33333333334,0,0
202811,2028,2028-11-01,1936898.3333333333,913340.0,778035.0,0.0,245523.33333333334,0,0
202812,2028,2028-12-01,1810893.3333333333,844475.0,720895.0,0.0,245523.33333333334,0,0
202901,2029,2029-01-01,2062758.3333333333,953675.0,863560.0,0.0,245523.33333333334,0,0
202902,2029,2029-02-01,1928158.3333333333,873980.0,808655.0,0.0,245523.33333333334,0,0
202903,2029,2029-03-01,1715753.3333333333,770275.0,699955.0,0.0,245523.33333333334,0,0
202904,2029,2029-04-01,2072978.3333333333,949930.0,877525.0,0.0,245523.33333333334,0,0
202905,2029,2029-05-01,2064773.3333333333,950220.0,869030.0,0.0,245523.33333333334,0,0
202906,2029,2029-06-01,2031318.3333333333,941355.0,844440.0,0.0,245523.33333333334,0,0
202907,2029,2029-07-01,2075498.3333333333,972640.0,857335.0,0.0,245523.33333333334,0,0
202908,2029,2029-08-01,1928568.3333333333,895675.0,787370.0,0.0,245523.33333333334,0,0
202909,2029,2029-09-01,1997018.3333333333,929940.0,821555.0,0.0,245523.33333333334,0,0
202910,2029,2029-10-01,2029538.3333333333,947350.0,836665.0,0.0,245523.33333333334,0,0
202911,2029,2029-11-01,1962378.3333333333,907315.0,809540.0,0.0,245523.33333333334,0,0
202912,2029,2029-12-01,1834588.3333333333,838980.0,750085.0,0.0,245523.33333333334,0,0
203001,2030,2030-01-01,1859027.6666666667,795670.0,815051.0,0.0,248306.66666666666,0,0
203002,2030,2030-02-01,1848912.6666666667,777615.0,822991.0,0.0,248306.66666666666,0,0
203003,2030,2030-03-01,1773569.1666666667,750356.5,774906.0,0.0,248306.66666666666,0,0
203004,2030,2030-04-01,2007415.6666666667,860002.0,899107.0,0.0,248306.66666666666,0,0
203005,2030,2030-05-01,2022497.1666666667,871943.0,902247.5,0.0,248306.66666666666,0,0
203006,2030,2030-06-01,2029485.1666666667,884476.0,896702.5,0.0,248306.66666666666,0,0
203007,2030,2030-07-01,2008557.1666666667,885648.0,874602.5,0.0,248306.66666666666,0,0
203008,2030,2030-08-01,2033391.1666666667,901047.0,884037.5,0.0,248306.66666666666,0,0
203009,2030,2030-09-01,2097490.6666666665,929612.0,919572.0,0.0,248306.66666666666,0,0
203010,2030,2030-10-01,2123206.1666666665,942865.5,932034.0,0.0,248306.66666666666,0,0
203011,2030,2030-11-01,2008673.6666666667,876340.0,884027.0,0.0,248306.66666666666,0,0
203012,2030,2030-12-01,1999805.1666666667,871330.0,880168.5,0.0,248306.66666666666,0,0
203101,2031,2031-01-01,2097601.6666666665,890010.0,959285.0,0.0,248306.66666666666,0,0
203102,2031,2031-02-01,1952276.6666666667,805680.0,898290.0,0.0,248306.66666666666,0,0
203103,2031,2031-03-01,1741081.6666666667,715230.0,777545.0,0.0,248306.66666666666,0,0
203104,2031,2031-04-01,2109451.6666666665,886345.0,974800.0,0.0,248306.66666666666,0,0
203105,2031,2031-05-01,2100471.6666666665,886805.0,965360.0,0.0,248306.66666666666,0,0
203106,2031,2031-06-01,2065836.6666666667,879485.0,938045.0,0.0,248306.66666666666,0,0
203107,2031,2031-07-01,2118321.6666666665,917645.0,952370.0,0.0,248306.66666666666,0,0
203108,2031,2031-08-01,1971651.6666666667,848695.0,874650.0,0.0,248306.66666666666,0,0
203109,2031,2031-09-01,2038881.6666666667,877950.0,912625.0,0.0,248306.66666666666,0,0
203110,2031,2031-10-01,2072466.6666666667,894750.0,929410.0,0.0,248306.66666666666,0,0
203111,2031,2031-11-01,1994841.6666666667,847260.0,899275.0,0.0,248306.66666666666,0,0
203112,2031,2031-12-01,1865571.6666666667,784035.0,833230.0,0.0,248306.66666666666,0,0
203201,2032,2032-01-01,2127606.6666666665,883355.0,995945.0,0.0,248306.66666666666,0,0
203202,2032,2032-02-01,1979621.6666666667,798695.0,932620.0,0.0,248306.66666666666,0,0
203203,2032,2032-03-01,1765131.6666666667,709565.0,807260.0,0.0,248306.66666666666,0,0
203204,2032,2032-04-01,2140286.6666666665,879925.0,1012055.0,0.0,248306.66666666666,0,0
203205,2032,2032-05-01,2130896.6666666665,880335.0,1002255.0,0.0,248306.66666666666,0,0
203206,2032,2032-06-01,2095261.6666666667,873060.0,973895.0,0.0,248306.66666666666,0,0
203207,2032,2032-07-01,2148956.6666666665,911880.0,988770.0,0.0,248306.66666666666,0,0
203208,2032,2032-08-01,2000181.6666666667,843800.0,908075.0,0.0,248306.66666666666,0,0
203209,2032,2032-09-01,2068326.6666666667,872520.0,947500.0,0.0,248306.66666666666,0,0
203210,2032,2032-10-01,2102491.6666666665,889255.0,964930.0,0.0,248306.66666666666,0,0
203211,2032,2032-11-01,2022921.6666666667,840970.0,933645.0,0.0,248306.66666666666,0,0
203212,2032,2032-12-01,1891656.6666666667,778280.0,865070.0,0.0,248306.66666666666,0,0
203301,2033,2033-01-01,2146456.6666666665,876745.0,1021405.0,0.0,248306.66666666666,0,0
203302,2033,2033-02-01,1996526.6666666667,791760.0,956460.0,0.0,248306.66666666666,0,0
203303,2033,2033-03-01,1780151.6666666667,703950.0,827895.0,0.0,248306.66666666666,0,0
203304,2033,2033-04-01,2159781.6666666665,873550.0,1037925.0,0.0,248306.66666666666,0,0
203305,2033,2033-05-01,2150096.6666666665,873915.0,1027875.0,0.0,248306.66666666666,0,0
203306,2033,2033-06-01,2113776.6666666665,866680.0,998790.0,0.0,248306.66666666666,0,0
203307,2033,2033-07-01,2168511.6666666665,906160.0,1014045.0,0.0,248306.66666666666,0,0
203308,2033,2033-08-01,2018536.6666666667,838940.0,931290.0,0.0,248306.66666666666,0,0
203309,2033,2033-09-01,2087166.6666666667,867135.0,971725.0,0.0,248306.66666666666,0,0
203310,2033,2033-10-01,2121696.6666666665,883795.0,989595.0,0.0,248306.66666666666,0,0
203311,2033,2033-11-01,2040546.6666666667,834730.0,957510.0,0.0,248306.66666666666,0,0
203312,2033,2033-12-01,1908061.6666666667,772570.0,887185.0,0.0,248306.66666666666,0,0
203401,2034,2034-01-01,2171461.6666666665,870180.0,1052975.0,0.0,248306.66666666666,0,0
203402,2034,2034-02-01,2019211.6666666667,784880.0,986025.0,0.0,248306.66666666666,0,0
203403,2034,2034-03-01,1800161.6666666667,698375.0,853480.0,0.0,248306.66666666666,0,0
203404,2034,2034-04-01,2185516.6666666665,867210.0,1070000.0,0.0,248306.66666666666,0,0
203405,2034,2034-05-01,2175481.6666666665,867535.0,1059640.0,0.0,248306.66666666666,0,0
203406,2034,2034-06-01,2138321.6666666665,860355.0,1029660.0,0.0,248306.66666666666,0,0
203407,2034,2034-07-01,2194176.6666666665,900485.0,1045385.0,0.0,248306.66666666666,0,0
203408,2034,2034-08-01,2042486.6666666667,834110.0,960070.0,0.0,248306.66666666666,0,0
203409,2034,2034-09-01,2111846.6666666665,861785.0,1001755.0,0.0,248306.66666666666,0,0
203410,2034,2034-10-01,2146861.6666666665,878375.0,1020180.0,0.0,248306.66666666666,0,0
203411,2034,2034-11-01,2063946.6666666667,828535.0,987105.0,0.0,248306.66666666666,0,0
203412,2034,2034-12-01,1929811.6666666667,766900.0,914605.0,0.0,248306.66666666666,0,0
203501,2035,2035-01-01,1990466.8333333333,769648.5,965585.0,0.0,255233.33333333334,0,0
203502,2035,2035-02-01,1977525.3333333333,747498.0,974794.0,0.0,255233.33333333334,0,0
203503,2035,2035-03-01,1900460.3333333333,725538.0,919689.0,0.0,255233.33333333334,0,0
203504,2035,2035-04-01,2153858.3333333335,833122.0,1065503.0,0.0,255233.33333333334,0,0
203505,2035,2035-05-01,2171847.3333333335,845765.0,1070849.0,0.0,255233.33333333334,0,0
203506,2035,2035-06-01,2178116.3333333335,858212.5,1064670.5,0.0,255233.33333333334,0,0
203507,2035,2035-07-01,2158324.3333333335,864207.0,1038884.0,0.0,255233.33333333334,0,0
203508,2035,2035-08-01,2186862.8333333335,881516.0,1050113.5,0.0,255233.33333333334,0,0
203509,2035,2035-09-01,2252146.3333333335,906217.5,1090695.5,0.0,255233.33333333334,0,0
203510,2035,2035-10-01,2277559.3333333335,918190.0,1104136.0,0.0,255233.33333333334,0,0
203511,2035,2035-11-01,2149783.3333333335,847630.5,1046919.5,0.0,255233.33333333334,0,0
203512,2035,2035-12-01,2141633.8333333335,843548.0,1042852.5,0.0,255233.33333333334,0,0
203601,2036,2036-01-01,2235168.3333333335,860950.0,1118985.0,0.0,255233.33333333334,0,0
203602,2036,2036-02-01,2073093.3333333333,772690.0,1045170.0,0.0,255233.33333333334,0,0
203603,2036,2036-03-01,1851928.3333333333,690090.0,906605.0,0.0,255233.33333333334,0,0
203604,2036,2036-04-01,2252298.3333333335,859095.0,1137970.0,0.0,255233.33333333334,0,0
203605,2036,2036-05-01,2241003.3333333335,859115.0,1126655.0,0.0,255233.33333333334,0,0
203606,2036,2036-06-01,2205043.3333333335,853335.0,1096475.0,0.0,255233.33333333334,0,0
203607,2036,2036-07-01,2262243.3333333335,894470.0,1112540.0,0.0,255233.33333333334,0,0
203608,2036,2036-08-01,2108138.3333333335,830180.0,1022725.0,0.0,255233.33333333334,0,0
203609,2036,2036-09-01,2176013.3333333335,855515.0,1065265.0,0.0,255233.33333333334,0,0
203610,2036,2036-10-01,2209138.3333333335,870705.0,1083200.0,0.0,255233.33333333334,0,0
203611,2036,2036-11-01,2121358.3333333335,818680.0,1047445.0,0.0,255233.33333333334,0,0
203612,2036,2036-12-01,1987233.3333333333,759475.0,972525.0,0.0,255233.33333333334,0,0
203701,2037,2037-01-01,2260408.3333333335,854480.0,1150695.0,0.0,255233.33333333334,0,0
203702,2037,2037-02-01,2095958.3333333333,765940.0,1074785.0,0.0,255233.33333333334,0,0
203703,2037,2037-03-01,1872148.3333333333,684620.0,932295.0,0.0,255233.33333333334,0,0
203704,2037,2037-04-01,2278288.3333333335,852840.0,1170215.0,0.0,255233.33333333334,0,0
203705,2037,2037-05-01,2266638.3333333335,852825.0,1158580.0,0.0,255233.33333333334,0,0
203706,2037,2037-06-01,2229883.3333333335,847105.0,1127545.0,0.0,255233.33333333334,0,0
203707,2037,2037-07-01,2288173.3333333335,888875.0,1144065.0,0.0,255233.33333333334,0,0
203708,2037,2037-08-01,2132348.3333333335,825410.0,1051705.0,0.0,255233.33333333334,0,0
203709,2037,2037-09-01,2200923.3333333335,850240.0,1095450.0,0.0,255233.33333333334,0,0
203710,2037,2037-10-01,2234493.3333333335,865370.0,1113890.0,0.0,255233.33333333334,0,0
203711,2037,2037-11-01,2144968.3333333335,812610.0,1077125.0,0.0,255233.33333333334,0,0
203712,2037,2037-12-01,2009213.3333333333,753900.0,1000080.0,0.0,255233.33333333334,0,0
203801,2038,2038-01-01,2287728.3333333335,848050.0,1184445.0,0.0,255233.33333333334,0,0
203802,2038,2038-02-01,2120783.3333333335,759235.0,1106315.0,0.0,255233.33333333334,0,0
203803,2038,2038-03-01,1894063.3333333333,679185.0,959645.0,0.0,255233.33333333334,0,0
203804,2038,2038-04-01,2306398.3333333335,846620.0,1204545.0,0.0,255233.33333333334,0,0
203805,2038,2038-05-01,2294378.3333333335,846580.0,1192565.0,0.0,255233.33333333334,0,0
203806,2038,2038-06-01,2256768.3333333335,840915.0,1160620.0,0.0,255233.33333333334,0,0
203807,2038,2038-07-01,2316173.3333333335,883315.0,1177625.0,0.0,255233.33333333334,0,0
203808,2038,2038-08-01,2158463.3333333335,820675.0,1082555.0,0.0,255233.33333333334,0,0
203809,2038,2038-09-01,2227823.3333333335,845005.0,1127585.0,0.0,255233.33333333334,0,0
203810,2038,2038-10-01,2261868.3333333335,860070.0,1146565.0,0.0,255233.33333333334,0,0
203811,2038,2038-11-01,2170533.3333333335,806580.0,1108720.0,0.0,255233.33333333334,0,0
203812,2038,2038-12-01,2033013.3333333333,748360.0,1029420.0,0.0,255233.33333333334,0,0
203901,2039,2039-01-01,2315093.3333333335,841660.0,1218200.0,0.0,255233.33333333334,0,0
203902,2039,2039-02-01,2145653.3333333335,752580.0,1137840.0,0.0,255233.33333333334,0,0
203903,2039,2039-03-01,1916013.3333333333,673790.0,986990.0,0.0,255233.33333333334,0,0
203904,2039,2039-04-01,2334543.3333333335,840440.0,1238870.0,0.0,255233.33333333334,0,0
203905,2039,2039-05-01,2322153.3333333335,840370.0,1226550.0,0.0,255233.33333333334,0,0
203906,2039,2039-06-01,2283698.3333333335,834770.0,1193695.0,0.0,255233.33333333334,0,0
203907,2039,2039-07-01,2344213.3333333335,877795.0,1211185.0,0.0,255233.33333333334,0,0
203908,2039,2039-08-01,2184598.3333333335,815960.0,1113405.0,0.0,255233.33333333334,0,0
203909,2039,2039-09-01,2254753.3333333335,839800.0,1159720.0,0.0,255233.33333333334,0,0
203910,2039,2039-10-01,2289273.3333333335,854800.0,1179240.0,0.0,255233.33333333334,0,0
203911,2039,2039-11-01,2196138.3333333335,800590.0,1140315.0,0.0,255233.33333333334,0,0
203912,2039,2039-12-01,2056853.3333333333,742865.0,1058755.0,0.0,255233.33333333334,0,0
