YearMonth,year,time,TotalEbill,EnergyCharge,NonEnergyCharge,AmortizedCost,DemandCharges,EmissionsCosts,PPACost,FuelCost,CogenPPACost,TotalCredit
202001,2020,2020-01-01,1933635.588235294,1121650.9803921569,511111.2745098039,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202002,2020,2020-02-01,1840109.607843137,1023143.1372549019,516093.1372549019,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202003,2020,2020-03-01,1476480.196078431,689688.725490196,485918.1372549019,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202004,2020,2020-04-01,1448851.2745098039,584159.8039215687,563818.1372549019,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202005,2020,2020-05-01,1521700.294117647,655056.8627450981,565770.0980392157,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202006,2020,2020-06-01,1588231.6666666665,725069.1176470588,562289.2156862745,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202007,2020,2020-07-01,1597018.9215686272,747719.6078431372,548425.9803921569,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202008,2020,2020-08-01,1613563.5294117646,758348.5294117647,554341.6666666666,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202009,2020,2020-09-01,1687133.6274509802,809618.6274509804,576641.6666666666,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202010,2020,2020-10-01,1718638.5294117646,833293.6274509804,584471.568627451,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202011,2020,2020-11-01,1680812.5490196077,825569.1176470588,554370.0980392157,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202012,2020,2020-12-01,1680710.588235294,827892.1568627451,551945.0980392157,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202101,2021,2021-01-01,1739642.0761245673,827071.3187235679,611697.4240676663,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202102,2021,2021-02-01,1654170.1422529796,780459.4386774318,572837.3702422145,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202103,2021,2021-03-01,1474570.9496347557,677883.506343714,495814.10995770857,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202104,2021,2021-04-01,1750753.1872356785,828296.8089196463,621583.044982699,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202105,2021,2021-05-01,1750277.4086889657,833837.9469434833,615566.1284121491,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202106,2021,2021-06-01,1730006.3590926568,831002.4990388312,598130.5267204922,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202107,2021,2021-07-01,1748931.7723952325,840787.1972318339,607271.2418300654,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202108,2021,2021-08-01,1627637.078046905,769059.9769319493,557703.7677816225,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202109,2021,2021-09-01,1693035.0019223376,810226.8358323722,581934.8327566321,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202110,2021,2021-10-01,1722667.8354479047,829133.0257593234,592661.476355248,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202111,2021,2021-11-01,1693568.4505959244,819242.5990003844,573452.5182622068,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202112,2021,2021-12-01,1593505.974625144,761322.5682429834,531310.0730488274,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202201,2022,2022-01-01,1684499.3519837765,734983.1512766582,648642.8673737852,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202202,2022,2022-02-01,1572716.3650481335,664412.6316424301,607430.4000723703,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202203,2022,2022-03-01,1411503.8600538252,584875.9149949867,525754.6117255052,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202204,2022,2022-04-01,1689112.0198113846,729117.1947441029,659121.4917339484,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202205,2022,2022-05-01,1684913.9738109775,731298.6709485792,652741.969529065,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202206,2022,2022-06-01,1659607.9075167165,724485.6804698041,634248.8937135792,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202207,2022,2022-07-01,1700891.0489932226,756072.325123821,643945.3905360682,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202208,2022,2022-08-01,1591963.298731257,699707.3146828896,591382.6507150341,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202209,2022,2022-09-01,1646137.4097443665,728184.2956329013,617079.780778132,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202210,2022,2022-10-01,1675024.3009099062,745697.356220458,628453.6113561149,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202211,2022,2022-11-01,1619549.7850751218,710595.8492585807,608080.6024832077,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202212,2022,2022-12-01,1524606.0982578343,660337.0875455141,563395.6773789868,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202301,2023,2023-01-01,1829352.4945585504,823885.3509304454,704593.8102947718,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202302,2023,2023-02-01,1729725.003815851,769022.7903058608,659828.880176657,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202303,2023,2023-03-01,1544826.5802509047,672845.8622293706,571107.3846882007,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202304,2023,2023-04-01,1839764.2325098694,822915.3132331176,715975.5859434184,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202305,2023,2023-05-01,1838202.9337398845,828282.8551583316,709046.7452482196,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202306,2023,2023-06-01,1815453.2401239814,825617.5611042451,688962.3456864031,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202307,2023,2023-07-01,1843699.814024742,843332.2971483035,699494.1835431054,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202308,2023,2023-08-01,1715779.557109981,772510.306789111,642395.9169875367,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202309,2023,2023-09-01,1780300.9216636727,809113.0625682814,670314.525762058,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202310,2023,2023-10-01,1809780.8292081787,826245.7759939431,682661.7198809023,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202311,2023,2023-11-01,1769362.5918195187,807953.6365586182,660535.6219275673,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202312,2023,2023-12-01,1660967.8079838278,748097.6914063602,611996.7832441343,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202401,2024,2024-01-01,1864060.5520566376,829060.6967778135,734126.5219454909,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202402,2024,2024-02-01,1758570.0846357474,770210.8374091147,687485.9138932994,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202403,2024,2024-03-01,1570739.6292932194,674819.268517828,595047.0274420581,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202404,2024,2024-04-01,1873471.0951707705,826610.6949372236,745987.0669002136,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202405,2024,2024-05-01,1870477.6548442827,830835.9291650802,738768.3923458692,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202406,2024,2024-06-01,1845914.2352816954,827199.419963613,717841.481984749,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202407,2024,2024-07-01,1877632.928241939,847945.1841627673,728814.4107458384,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202408,2024,2024-08-01,1748570.816495225,778376.0006597314,669321.4825021604,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202409,2024,2024-09-01,1813738.1482624875,814455.7874693061,698409.0274598481,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202410,2024,2024-10-01,1844288.4484780505,832140.1815312352,711274.933613482,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202411,2024,2024-11-01,1799626.8622453373,810529.4444086935,688224.0845033107,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202412,2024,2024-12-01,1689413.0086511842,750891.5992354426,637648.0760824082,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202501,2025,2025-01-01,1641929.9297074703,737448.245291973,689179.4529134048,0.0,353253.3333333333,0.0,0.0,0.0,0.0,137.95110183124083
202502,2025,2025-02-01,1646735.1868421708,735536.8868918172,695896.0684482611,0.0,353253.3333333333,0.0,0.0,0.0,0.0,137.95110183124083
202503,2025,2025-03-01,1572974.9560094927,702463.5047909103,655209.2197164899,0.0,353253.3333333333,0.0,0.0,0.0,0.0,137.95110183124083
202504,2025,2025-04-01,1773652.4925123523,798101.1305522008,760249.1304580589,0.0,353253.3333333333,0.0,0.0,0.0,0.0,137.95110183124083
202505,2025,2025-05-01,1790590.5466275536,812407.6814762936,762880.6336491677,0.0,353253.3333333333,0.0,0.0,0.0,0.0,137.95110183124083
202506,2025,2025-06-01,1800451.0248410404,826962.4204017075,758186.3729372404,0.0,353253.3333333333,0.0,0.0,0.0,0.0,137.95110183124083
202507,2025,2025-07-01,1771826.3793648863,817030.4604919549,739493.6873708388,0.0,353253.3333333333,0.0,0.0,0.0,0.0,137.95110183124083
202508,2025,2025-08-01,1789423.7522313609,826650.298460869,747471.2222683995,0.0,353253.3333333333,0.0,0.0,0.0,0.0,137.95110183124083
202509,2025,2025-09-01,1853711.5483445681,860870.0516161784,777539.2652262973,0.0,353253.3333333333,0.0,0.0,0.0,0.0,137.95110183124083
202510,2025,2025-10-01,1878652.8885274138,875254.3000362124,788096.356989109,0.0,353253.3333333333,0.0,0.0,0.0,0.0,137.95110183124083
202511,2025,2025-11-01,1794797.311050661,831986.562482117,747508.5170664514,0.0,353253.3333333333,0.0,0.0,0.0,0.0,137.95110183124083
202512,2025,2025-12-01,1787982.1306923819,828441.3367387386,744238.5624515507,0.0,353253.3333333333,0.0,0.0,0.0,0.0,137.95110183124083
202601,2026,2026-01-01,1852523.4640050218,830105.2471137252,811105.2712154766,0.0,353253.3333333333,0.0,0.0,0.0,0.0,141.94038765751313
202602,2026,2026-02-01,1735393.9447734128,764508.5376551668,759572.4614424258,0.0,353253.3333333333,0.0,0.0,0.0,0.0,141.94038765751313
202603,2026,2026-03-01,1541254.672141617,672499.0323774623,657442.6940883346,0.0,353253.3333333333,0.0,0.0,0.0,0.0,141.94038765751313
202604,2026,2026-04-01,1862822.1909180244,827297.6905376953,824211.554704509,0.0,353253.3333333333,0.0,0.0,0.0,0.0,141.94038765751313
202605,2026,2026-05-01,1858530.3292374578,830984.5128941252,816232.8706675124,0.0,353253.3333333333,0.0,0.0,0.0,0.0,141.94038765751313
202606,2026,2026-06-01,1831281.7956468423,826858.0576474953,793110.7923235269,0.0,353253.3333333333,0.0,0.0,0.0,0.0,141.94038765751313
202607,2026,2026-07-01,1869695.2635281812,853144.6222407424,805237.6956116187,0.0,353253.3333333333,0.0,0.0,0.0,0.0,141.94038765751313
202608,2026,2026-08-01,1736434.2641868563,785615.2691856611,739506.0493253751,0.0,353253.3333333333,0.0,0.0,0.0,0.0,141.94038765751313
202609,2026,2026-09-01,1802692.5993811614,819736.8753864334,771642.7783189078,0.0,353253.3333333333,0.0,0.0,0.0,0.0,141.94038765751313
202610,2026,2026-10-01,1834868.5035827316,837696.5318712385,785859.026035673,0.0,353253.3333333333,0.0,0.0,0.0,0.0,141.94038765751313
202611,2026,2026-11-01,1780780.5996854492,809076.8659993061,760390.788010323,0.0,353253.3333333333,0.0,0.0,0.0,0.0,141.94038765751313
202612,2026,2026-12-01,1665901.478515557,750074.6498937481,704513.8829459889,0.0,353253.3333333333,0.0,0.0,0.0,0.0,141.94038765751313
202701,2027,2027-01-01,1881275.0096152946,827813.113372857,844742.0948854128,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.53353197630855
202702,2027,2027-02-01,1758619.9083715635,758829.7541214161,791070.3528931226,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.53353197630855
202703,2027,2027-03-01,1562108.0178568964,668684.1011163166,684704.115383555,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.53353197630855
202704,2027,2027-04-01,1890723.148024369,823618.2081984575,858385.1384688867,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.53353197630855
202705,2027,2027-05-01,1885068.7743152347,826268.2958010029,850080.6771572069,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.53353197630855
202706,2027,2027-06-01,1856118.380924466,821399.1332333633,825999.446334078,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.53353197630855
202707,2027,2027-07-01,1896787.197111675,849440.5593788144,838626.8363758357,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.53353197630855
202708,2027,2027-08-01,1761530.310537322,782637.8680257644,770172.6411545328,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.53353197630855
202709,2027,2027-09-01,1827057.0337854428,814699.2338195209,803637.9986088971,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.53353197630855
202710,2027,2027-10-01,1858900.7595345457,831734.9016284755,818446.0565490455,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.53353197630855
202711,2027,2027-11-01,1800133.6800262504,799494.3028567691,791919.5758124568,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.53353197630855
202712,2027,2027-12-01,1683068.940713815,740624.8045039311,733724.334852859,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.53353197630855
202801,2028,2028-01-01,1905334.2201035249,816719.1610313375,880149.3939608143,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.78766822196036
202802,2028,2028-02-01,1778519.775784194,745820.8873539472,824233.2233188739,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.78766822196036
202803,2028,2028-03-01,1580447.2530231478,658576.5995577344,713404.9883540403,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.78766822196036
202804,2028,2028-04-01,1914132.7017241756,811296.9869084826,894370.0497043201,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.78766822196036
202805,2028,2028-05-01,1906652.1096472743,812472.6280570338,885713.8164788675,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.78766822196036
202806,2028,2028-06-01,1875491.3435461766,806401.9686031276,860623.7098316759,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.78766822196036
202807,2028,2028-07-01,1917032.0587204245,834784.7072215282,873781.6863875234,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.78766822196036
202808,2028,2028-08-01,1779641.0278404632,768718.6952045524,802456.667524538,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.78766822196036
202809,2028,2028-09-01,1843795.05407492,798000.9457337661,837328.443229781,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.78766822196036
202810,2028,2028-10-01,1874587.647859034,813367.9561915175,852754.0265561435,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.78766822196036
202811,2028,2028-11-01,1811839.3704712433,778257.7052355007,825116.0001243696,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.78766822196036
202812,2028,2028-12-01,1692898.7932037741,719948.4145331646,764484.7135592367,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.78766822196036
202901,2029,2029-01-01,1927160.8504891535,803280.9534962525,915516.906143672,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202902,2029,2029-02-01,1795375.9978557092,729658.7953239568,857354.2116825234,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202903,2029,2029-03-01,1595034.6378016982,644596.8801099019,742074.7668425672,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202904,2029,2029-04-01,1934088.6918815991,795417.9150419491,930307.785990421,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202905,2029,2029-05-01,1926209.2464612983,796541.7922127781,921304.4633992912,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202906,2029,2029-06-01,1894264.8836641596,790692.7088346683,895209.1839802624,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202907,2029,2029-07-01,1938120.7037754855,820865.1193040765,908892.59362218,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202908,2029,2029-08-01,1799974.0500765094,756906.66410431,834704.3951229703,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202909,2029,2029-09-01,1864219.627181232,784880.5411300528,870976.0952019503,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202910,2029,2029-10-01,1895495.4061139724,800110.307317235,887022.1079475083,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202911,2029,2029-11-01,1829588.6237020027,762952.6310743899,858273.0017783836,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202912,2029,2029-12-01,1709551.1587227704,705983.5433895597,795204.6244839816,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
